station_id;date;hour;avg_available;avg_free;med_available;med_free;src_count
1;2011-12-27;20;24;3;24;3;60
1;2011-12-27;21;21;6;21;6;60
1;2011-12-27;22;21;6;21;6;59
1;2011-12-27;23;20;7;20;7;60
1;2011-12-28;0;20;7;20;7;60
1;2011-12-28;1;21;6;21;6;60
1;2011-12-28;2;21;6;21;6;60
1;2011-12-28;3;21;6;21;6;60
1;2011-12-28;4;21;6;21;6;60
1;2011-12-28;5;20;7;20;7;60
1;2011-12-28;6;19;8;19;8;60
1;2011-12-28;7;19;8;19;8;60
1;2011-12-28;8;17;10;17;10;60
1;2011-12-28;9;18;9;18;9;60
1;2011-12-28;10;21;6;22;5;60
1;2011-12-28;11;17;10;17;10;60
1;2011-12-28;12;21;6;21;6;60
1;2011-12-28;13;19;8;19;8;60
1;2011-12-28;14;19;8;19;8;60
1;2011-12-28;15;19;8;19;8;60
1;2011-12-28;16;16;11;16;11;60
1;2011-12-28;17;11;16;11;16;60
1;2011-12-28;18;11;16;11;16;60
1;2011-12-28;19;12;15;12;15;60
1;2011-12-28;20;14;13;15;12;60
1;2011-12-28;21;15;12;15;12;60
1;2011-12-28;22;17;10;17;10;60
1;2011-12-28;23;17;10;17;10;60
1;2011-12-29;0;15;12;15;12;60
1;2011-12-29;1;14;13;14;13;60
1;2011-12-29;2;13;14;13;14;60
1;2011-12-29;3;13;14;13;14;60
1;2011-12-29;4;12;15;12;15;60
1;2011-12-29;5;12;15;12;15;60
1;2011-12-29;6;12;15;12;15;60
1;2011-12-29;7;12;15;12;15;60
1;2011-12-29;8;10;17;11;16;60
1;2011-12-29;9;12;15;12;15;60
1;2011-12-29;10;11;16;10;17;60
1;2011-12-29;11;12;15;13;14;60
1;2011-12-29;12;12;15;12;15;60
1;2011-12-29;13;16;11;16;11;60
1;2011-12-29;14;15;12;15;12;59
1;2011-12-29;15;17;10;17;10;59
1;2011-12-29;16;17;10;17;10;60
1;2011-12-29;17;21;6;20;7;60
1;2011-12-29;18;24;3;24;3;59
1;2011-12-29;19;24;3;24;3;60
1;2011-12-29;20;20;7;19;8;60
1;2011-12-29;21;18;9;18;9;59
1;2011-12-29;22;17;10;17;10;60
1;2011-12-29;23;18;9;18;9;60
1;2011-12-30;0;17;10;17;10;60
1;2011-12-30;1;17;10;17;10;60
1;2011-12-30;2;15;12;15;12;60
1;2011-12-30;3;14;13;14;13;60
1;2011-12-30;4;12;15;12;16;60
1;2011-12-30;5;10;17;10;17;59
1;2011-12-30;6;10;17;10;17;60
1;2011-12-30;7;10;17;10;17;60
1;2011-12-30;8;9;18;9;18;60
1;2011-12-30;9;8;19;8;20;60
1;2011-12-30;10;7;20;7;20;60
1;2011-12-30;11;10;17;10;17;60
1;2011-12-30;12;13;14;13;14;60
1;2011-12-30;13;15;12;15;13;59
1;2011-12-30;14;14;13;13;14;60
1;2011-12-30;15;15;12;15;12;60
1;2011-12-30;16;16;11;17;10;60
1;2011-12-30;17;19;8;19;8;60
1;2011-12-30;18;20;7;20;7;60
1;2011-12-30;19;23;4;22;5;60
1;2011-12-30;20;24;3;24;3;60
1;2011-12-30;21;22;5;22;5;59
1;2011-12-30;22;22;5;22;5;60
1;2011-12-30;23;22;5;22;5;59
1;2011-12-31;0;21;6;21;6;60
1;2011-12-31;1;18;9;19;8;59
1;2011-12-31;2;14;13;14;13;60
1;2011-12-31;3;14;13;15;13;60
1;2011-12-31;4;11;16;11;16;59
1;2011-12-31;5;11;16;11;16;60
1;2011-12-31;6;11;16;11;16;60
1;2011-12-31;7;10;17;10;17;60
1;2011-12-31;8;10;17;10;17;60
1;2011-12-31;9;9;18;8;19;60
1;2011-12-31;10;7;20;8;19;59
1;2011-12-31;11;7;20;7;20;60
1;2011-12-31;12;4;23;5;22;59
1;2011-12-31;13;5;22;5;22;60
1;2011-12-31;14;6;21;7;21;60
1;2011-12-31;15;6;21;6;21;60
1;2011-12-31;16;2;25;2;25;60
1;2011-12-31;17;2;25;2;25;60
1;2011-12-31;18;1;26;1;26;60
1;2011-12-31;19;1;26;1;26;60
1;2011-12-31;20;6;21;6;21;60
1;2011-12-31;21;6;21;6;21;60
1;2011-12-31;22;7;21;7;20;60
1;2011-12-31;23;8;19;7;20;60
1;2012-01-01;0;10;17;10;17;60
1;2012-01-01;1;14;13;14;13;60
1;2012-01-01;2;16;11;16;11;60
1;2012-01-01;3;18;9;18;9;60
1;2012-01-01;4;18;9;17;10;60
1;2012-01-01;5;14;13;14;13;59
1;2012-01-01;6;10;17;10;17;60
1;2012-01-01;7;9;18;9;18;60
1;2012-01-01;8;8;19;8;19;60
1;2012-01-01;9;7;20;7;20;59
1;2012-01-01;10;7;20;7;20;60
1;2012-01-01;11;7;20;7;20;60
1;2012-01-01;12;8;19;8;19;60
1;2012-01-01;13;5;22;5;22;60
1;2012-01-01;14;4;23;4;23;60
1;2012-01-01;15;1;26;1;26;60
1;2012-01-01;16;0;27;0;27;60
1;2012-01-01;17;0;27;0;27;60
1;2012-01-01;18;0;27;0;27;60
1;2012-01-01;19;3;24;3;24;60
1;2012-01-01;20;2;25;1;26;60
1;2012-01-01;21;2;25;1;26;60
1;2012-01-01;22;2;25;2;25;60
1;2012-01-01;23;4;23;4;23;60
1;2012-01-02;0;3;24;3;24;60
1;2012-01-02;1;3;24;3;24;60
1;2012-01-02;2;3;24;3;24;60
1;2012-01-02;3;3;24;3;24;60
1;2012-01-02;4;3;24;3;24;60
1;2012-01-02;5;3;24;3;24;59
1;2012-01-02;6;3;24;3;24;59
1;2012-01-02;7;3;24;3;24;60
1;2012-01-02;8;2;25;2;25;60
1;2012-01-02;9;1;26;1;26;59
1;2012-01-02;10;2;25;2;25;60
1;2012-01-02;11;1;26;0;27;60
1;2012-01-02;12;4;23;3;24;60
1;2012-01-02;13;7;20;7;20;60
1;2012-01-02;14;13;14;14;13;60
1;2012-01-02;15;12;15;12;15;60
1;2012-01-02;16;13;14;14;13;60
1;2012-01-02;17;14;13;14;13;60
1;2012-01-02;18;13;14;13;14;60
1;2012-01-02;19;13;14;13;14;60
1;2012-01-02;20;12;15;12;15;60
1;2012-01-02;21;12;15;12;15;60
1;2012-01-02;22;11;16;11;16;60
1;2012-01-02;23;11;16;11;16;60
1;2012-01-03;0;11;16;10;17;60
1;2012-01-03;1;10;17;10;17;60
1;2012-01-03;2;11;16;11;16;60
1;2012-01-03;3;11;16;11;16;60
1;2012-01-03;4;11;16;11;16;60
1;2012-01-03;5;11;16;11;16;59
1;2012-01-03;6;11;16;11;16;60
1;2012-01-03;7;11;16;11;16;60
1;2012-01-03;8;10;17;10;17;60
1;2012-01-03;9;10;17;10;17;60
1;2012-01-03;10;7;20;8;19;60
1;2012-01-03;11;7;20;7;20;60
1;2012-01-03;12;6;21;6;21;60
1;2012-01-03;13;10;17;11;16;60
1;2012-01-03;14;7;20;6;21;60
1;2012-01-03;15;4;23;4;23;60
1;2012-01-03;16;5;22;5;22;60
1;2012-01-03;17;5;22;4;23;60
1;2012-01-03;18;5;22;5;22;60
1;2012-01-03;19;4;23;3;24;60
1;2012-01-03;20;2;25;3;25;60
1;2012-01-03;21;0;27;0;27;60
1;2012-01-03;22;1;26;2;25;60
1;2012-01-03;23;2;25;2;25;60
1;2012-01-04;0;2;25;2;25;60
1;2012-01-04;1;1;26;2;25;60
1;2012-01-04;2;0;27;0;27;60
1;2012-01-04;3;0;27;0;27;60
1;2012-01-04;4;1;26;1;26;60
1;2012-01-04;5;1;26;1;27;59
1;2012-01-04;6;0;27;0;27;60
1;2012-01-04;7;7;20;7;20;60
1;2012-01-04;8;7;20;7;20;60
1;2012-01-04;9;6;21;6;21;60
1;2012-01-04;10;8;19;8;19;60
1;2012-01-04;11;8;19;8;19;59
1;2012-01-04;12;6;21;5;22;60
1;2012-01-04;13;6;21;7;20;56
1;2012-01-04;14;6;21;6;21;60
1;2012-01-04;15;9;18;9;18;60
1;2012-01-04;16;12;15;12;15;60
1;2012-01-04;17;14;13;14;13;60
1;2012-01-04;18;13;14;13;14;60
1;2012-01-04;19;15;12;16;11;60
1;2012-01-04;20;13;15;13;14;60
1;2012-01-04;21;9;18;9;18;60
1;2012-01-04;22;10;17;10;17;60
1;2012-01-04;23;11;16;11;16;60
1;2012-01-05;0;11;16;11;16;60
1;2012-01-05;1;12;15;12;15;59
1;2012-01-05;2;12;15;12;15;60
1;2012-01-05;3;12;15;12;15;60
1;2012-01-05;4;11;16;11;16;60
1;2012-01-05;5;11;16;11;16;59
1;2012-01-05;6;11;16;11;16;60
1;2012-01-05;7;12;15;12;15;58
1;2012-01-05;8;11;16;11;16;60
1;2012-01-05;9;11;16;11;16;60
1;2012-01-05;10;8;19;8;19;60
1;2012-01-05;11;4;23;4;23;58
1;2012-01-05;12;2;26;1;26;60
1;2012-01-05;13;2;25;1;26;60
1;2012-01-05;14;1;26;0;27;55
1;2012-01-05;15;2;25;2;25;60
1;2012-01-05;16;1;26;1;26;60
1;2012-01-05;17;5;22;5;22;60
1;2012-01-05;18;7;20;7;20;60
1;2012-01-05;19;9;18;9;18;60
1;2012-01-05;20;9;18;9;18;60
1;2012-01-05;21;11;16;12;15;60
1;2012-01-05;22;10;17;10;17;60
1;2012-01-05;23;10;17;9;18;60
1;2012-01-06;0;11;16;11;16;60
1;2012-01-06;1;13;14;13;14;58
1;2012-01-06;2;12;15;12;15;60
1;2012-01-06;3;10;17;10;17;60
1;2012-01-06;4;7;20;7;20;60
1;2012-01-06;5;2;25;2;25;59
1;2012-01-06;6;1;26;1;26;60
1;2012-01-06;7;1;26;1;26;60
1;2012-01-06;8;1;26;1;26;60
1;2012-01-06;9;1;26;1;26;60
1;2012-01-06;10;1;26;1;26;60
1;2012-01-06;11;1;26;1;26;59
1;2012-01-06;12;1;26;1;26;60
1;2012-01-06;13;2;25;2;25;60
1;2012-01-06;14;2;25;2;25;60
1;2012-01-06;15;1;26;1;26;57
1;2012-01-06;16;1;26;1;26;60
1;2012-01-06;17;1;26;1;26;60
1;2012-01-06;18;2;25;1;26;60
