Fecha;PM2,5(µg/m³);PM1(µg/m³);Xileno(µg/m³);SO2(µg/m³);CO(mg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);NOx(µg/m³);Ozono(µg/m³);Tolueno(µg/m³);Benceno(µg/m³);Ruido(dBA)
01/01/2014;5;3;;3;0,1;7;22;11;33;47;;;58
02/01/2014;5;3;;2;0,2;16;35;11;59;37;;;59
03/01/2014;6;3;;2;0,2;37;52;11;108;24;;;60
04/01/2014;5;2;;1;0,1;7;20;12;30;52;;;60
05/01/2014;5;3;;1;0,3;6;18;10;28;55;;;60
06/01/2014;5;3;;1;0,3;10;30;10;46;41;;;58
07/01/2014;10;7;;5;0,7;98;89;20;238;12;;;60
08/01/2014;13;10;;4;0,5;76;68;25;184;17;;;61
09/01/2014;27;24;;4;0,4;74;77;55;190;8;;;62
10/01/2014;25;22;;2;0,3;40;75;50;136;8;;;63
11/01/2014;20;17;;3;0,4;46;78;40;148;5;;;62
12/01/2014;18;15;;3;0,4;26;55;36;95;10;;;61
13/01/2014;10;7;;3;0,3;30;55;20;101;17;;;61
14/01/2014;6;3;;3;0,4;22;46;11;79;28;;;59
15/01/2014;7;4;;3;0,3;43;47;14;112;20;;;60
16/01/2014;7;4;;4;0,2;58;56;14;144;20;;;60
17/01/2014;7;4;;5;0,4;50;63;14;140;22;;;61
18/01/2014;8;5;;3;0,4;29;58;15;103;17;;;61
19/01/2014;6;3;;3;0,3;14;36;11;57;34;;;59
20/01/2014;5;2;;2;0,4;15;34;10;56;42;;;59
21/01/2014;6;4;;2;0,4;32;52;13;102;28;;;59
22/01/2014;8;5;;4;0,4;70;65;16;173;13;;;62
23/01/2014;7;4;;3;0,4;64;81;14;179;12;;;60
24/01/2014;6;3;;2;0,3;28;56;12;99;28;;;59
25/01/2014;5;3;;2;0,2;19;39;10;67;29;;;59
26/01/2014;5;3;;1;0,3;9;26;10;40;37;;;58
27/01/2014;5;2;;1;0,2;11;25;11;42;46;;;60
28/01/2014;5;2;;2;0,3;12;27;11;46;49;;;59
29/01/2014;5;3;;0;0,2;17;38;10;63;46;;;59
30/01/2014;5;3;;1;0,3;32;55;11;105;31;;;59
31/01/2014;6;4;;0;0,2;43;66;22;131;28;;;60
01/02/2014;4;3;;0;0;16;35;20;59;52;;;59
02/02/2014;2;1;;0;0,1;9;30;8;45;64;;;57
03/02/2014;4;3;;0;0,2;29;47;23;91;49;;;59
04/02/2014;5;4;;0;0,2;27;53;21;94;50;;;59
05/02/2014;5;3;;0;0,1;23;46;21;81;57;;;59
