;month;Ozono(µg/m?);NO(µg/m?);NO2(µg/m?);PM10(µg/m?);NOx(µg/m?);SO2(µg/m?)
0;01/14;34.354838709677416;13.290322580645162;41.70967741935484;22.517241379310345;61.74193548387097;1.3461538461538463
1;01/15;24.06451612903226;15.64516129032258;27.29032258064516;28.1;50.32258064516129;4.354838709677419
2;01/16;29.096774193548388;14.142857142857142;36.0;29.08695652173913;57.142857142857146;3.193548387096774
3;01/17;34.483870967741936;18.387096774193548;37.806451612903224;23.642857142857142;66.12903225806451;3.032258064516129
4;02/14;42.5;8.107142857142858;35.714285714285715;22.88888888888889;48.0;1.6071428571428572
5;02/15;45.82142857142857;5.785714285714286;18.678571428571427;20.555555555555557;26.25;3.9642857142857144
6;02/16;45.172413793103445;11.655172413793103;35.13793103448276;26.178571428571427;52.13793103448276;3.103448275862069
7;02/17;43.42307692307692;12.23076923076923;30.692307692307693;29.714285714285715;49.34615384615385;3.0
8;03/14;55.32258064516129;6.870967741935484;36.61290322580645;28.633333333333333;47.0;2.5161290322580645
9;03/15;53.125;5.08;19.8;29.82608695652174;25.8;3.9583333333333335
10;03/16;55.096774193548384;10.428571428571429;31.714285714285715;24.137931034482758;47.142857142857146;3.193548387096774
11;03/17;53.83870967741935;9.67741935483871;29.516129032258064;;44.225806451612904;5.1
12;04/14;67.55;3.6;19.633333333333333;23.0;25.1;2.466666666666667
13;04/15;66.05;3.6;14.933333333333334;25.59259259259259;19.133333333333333;3.909090909090909
14;04/16;61.733333333333334;4.416666666666667;21.916666666666668;21.77777777777778;27.416666666666668;3.066666666666667
15;04/17;65.8;6.909090909090909;19.818181818181817;;30.545454545454547;4.866666666666666
16;05/14;74.48387096774194;2.129032258064516;15.96774193548387;22.161290322580644;19.06451612903226;2.4838709677419355
17;05/15;64.18181818181819;3.8620689655172415;14.172413793103448;26.896551724137932;18.724137931034484;3.5
18;05/16;67.96774193548387;4.0;20.548387096774192;21.814814814814813;25.516129032258064;3.064516129032258
19;05/17;69.6774193548387;6.354838709677419;29.258064516129032;;38.774193548387096;3.2083333333333335
20;06/14;71.5;1.7727272727272727;14.909090909090908;23.366666666666667;17.40909090909091;1.75
21;06/15;75.48275862068965;3.2333333333333334;15.033333333333333;25.77777777777778;18.566666666666666;3.7
22;06/16;66.96428571428571;3.142857142857143;17.678571428571427;23.48148148148148;22.428571428571427;3.4705882352941178
23;06/17;63.56666666666667;4.6;31.133333333333333;24.133333333333333;38.166666666666664;3.7142857142857144
24;07/14;57.7;2.2962962962962963;15.25925925925926;22.16;18.74074074074074;2.1153846153846154
25;07/15;68.07142857142857;2.838709677419355;11.483870967741936;32.285714285714285;14.451612903225806;3.5185185185185186
26;07/16;68.7741935483871;2.935483870967742;16.93548387096774;26.541666666666668;21.64516129032258;3.0
27;07/17;61.54838709677419;5.461538461538462;18.115384615384617;26.806451612903224;26.53846153846154;3.642857142857143
28;08/14;61.516129032258064;0.8928571428571429;9.214285714285714;26.16;10.464285714285714;2.0714285714285716
29;08/15;80.96774193548387;2.4516129032258065;9.67741935483871;22.88;11.548387096774194;3.0
30;08/16;61.29032258064516;2.032258064516129;11.064516129032258;26.03846153846154;14.258064516129032;3.0
31;08/17;57.241379310344826;4.354838709677419;17.806451612903224;40.75;24.548387096774192;3.161290322580645
32;09/14;49.733333333333334;3.793103448275862;17.137931034482758;27.1;22.310344827586206;2.6785714285714284
33;09/15;51.56666666666667;4.666666666666667;20.3;20.11764705882353;25.6;3.1666666666666665
34;09/16;56.46666666666667;2.3666666666666667;9.7;20.88;13.2;3.16
35;10/14;33.45161290322581;6.714285714285714;28.142857142857142;27.93103448275862;37.357142857142854;3.7666666666666666
36;10/15;41.45161290322581;7.161290322580645;28.870967741935484;23.4;38.225806451612904;3.0
37;10/16;43.806451612903224;1.0;5.5;26.838709677419356;7.5;3.032258064516129
38;11/14;27.166666666666668;10.833333333333334;30.333333333333332;24.23076923076923;46.13333333333333;3.533333333333333
39;11/15;30.533333333333335;21.566666666666666;37.13333333333333;30.0;69.26666666666667;3.1333333333333333
40;11/16;29.433333333333334;8.636363636363637;24.5;20.678571428571427;37.45454545454545;3.433333333333333
41;12/14;21.29032258064516;23.806451612903224;37.25806451612903;25.8;73.0;4.096774193548387
42;12/15;13.03225806451613;33.583333333333336;44.166666666666664;45.2;95.08333333333333;3.4193548387096775
43;12/16;24.838709677419356;33.85;47.55;24.14814814814815;99.35;3.193548387096774
