Informe de evolución mensual. Promedios diarios;;;;;
SPL (dBA);ARAGÓN;AYUNTAMIENTO;D. JUAN AUSTRIA;MOLÍ DEL SOL;P.SILLA
;;;;;
01/10/2017;64;65;62;-;56
02/10/2017;64;65;63;-;61
03/10/2017;64;67;64;-;60
04/10/2017;64;65;63;-;61
05/10/2017;66;66;63;-;60
06/10/2017;67;65;64;-;59
07/10/2017;65;65;63;-;61
08/10/2017;63;65;62;-;59
09/10/2017;63;67;62;-;60
10/10/2017;64;65;63;-;59
11/10/2017;64;65;63;-;60
12/10/2017;63;65;62;-;58
13/10/2017;64;65;64;-;60
14/10/2017;63;65;63;-;59
15/10/2017;63;66;62;-;58
16/10/2017;64;64;63;-;59
17/10/2017;64;65;63;-;58
18/10/2017;-;64;63;-;59
19/10/2017;-;65;63;-;59
20/10/2017;-;65;64;-;59
21/10/2017;-;66;64;-;59
22/10/2017;-;66;63;-;56
23/10/2017;-;65;63;-;58
24/10/2017;-;64;63;-;58
25/10/2017;-;65;63;-;59
26/10/2017;-;65;66;-;59
27/10/2017;-;66;65;-;60
28/10/2017;-;66;64;-;59
29/10/2017;-;65;62;-;58
30/10/2017;-;64;63;-;58
31/10/2017;-;65;64;-;58
